OVRO-LWA antenna coordinates						
updated by dpw 2020MAY05				OVRO lease East boundary is 424m east of 0 and the North boundary is 1141 m north of 0		
	asbuilt					
antenna #	X	Y	Z	Radius	origin	medium	FPGA
LWA-339	-201.32	782.12		808	LWA-282	new fiber	9
LWA-340	-358.73	647.63		740	LWA-282	new fiber	9
LWA-341	-1090.38	-746.27		1321	LWA-283	new fiber	9
LWA-342	-841.12	-337.37		906	LWA-283	new fiber	4
LWA-343	-430.50	232.25		489	LWA-284	new fiber	10
LWA-344	-571.40	13.05		572	LWA-284	new fiber	10
LWA-347	-1146.01	-350.54		1198	LWA-286	new fiber	6
LWA-348	-1218.01	-94.94		1222	LWA-286	new fiber	8
LWA-349	-825.40	587.81		1013	LWA-287	new fiber	0
LWA-350	-666.41	759.60		1010	LWA-287	new fiber	4
LWA-351	-843.45	277.96		888	LWA-288	new fiber	10
LWA-352	-604.86	406.09		729	LWA-288	new fiber	9
LWA-293	-57.03	149.79		160	container	new fiber	3
LWA-294	26.70	137.00		140	container	new fiber	2
LWA-303	-406.10	-271.84		489	container	new fiber	10
LWA-304	-140.46	-70.94		157	container	new fiber	5
LWA-317	-395.09	-167.78		429	container	new fiber	10
LWA-318	-275.05	-245.57		369	container	new fiber	10
LWA-345	-31.69	-160.07		163	container	new fiber	6
LWA-346	-139.21	90.06		166	container	new fiber	4
LWA-353	-1167.24	1074.10		1586	container/DSA	new fiber	9
LWA-354	-897.86	1031.75		1368	container/DSA	new fiber	10
LWA-355	-51.78	-415.29		419	container	new fiber	0
LWA-356	91.99	-412.02		422	container	new fiber	4
LWA-357	223.65	-257.76		341	container	new fiber	3
LWA-358	107.88	-270.16		291	container	new fiber	7
LWA-359	-27.22	-297.67		299	container	new fiber	6
LWA-360	309.29	-772.81		832	container	new fiber	10
LWA-361	62.00	-151.00		163	container	new fiber	7
LWA-362	378.00	-600.00		709	container	new fiber	9
LWA-363	201.41	-500.94		540	container	new fiber	1
LWA-364	16.93	-577.02		577	container	new fiber	8
LWA-365	-150.00	-950.00	1184.641768	962	40-m	new fiber    8
